$Data, $aa, $acap, $aexp, $b, $cplx, $docu, $etat, $flex, $kloc, $ltex, $pcap, $pcon, $plex, $pmat, $pr, $prec, $pvol, $rely, $resl, $ruse, $sced, $site, $stor, $team, $time, $tool, <effort, <months, <defects, <risks
3.61, 1.003, 3.488, 2.402, 3.774, 1.168, 3.434, 1.547, 2.791, 379.744, 2.228, 3.922, 4.122, 3.654, 2.771, 4.067, 1.995, 2.239, 1.143, 3.735, 5.402, 3.0, 5.961, 3.66, 4.782, 3.803, 2.0, 664.31, 26.601, 5708.763, 1.072
4.535, 1.436, 3.586, 2.157, 9.681, 2.86, 1.707, 5.022, 4.858, 215.584, 3.565, 3.839, 1.744, 2.323, 2.602, 4.226, 3.214, 2.105, 1.972, 1.494, 5.387, 3.0, 5.673, 3.624, 4.998, 3.122, 2.0, 625.654, 25.381, 5316.694, 1.072
2.586, 2.183, 4.509, 3.066, 8.305, 1.308, 2.374, 3.63, 3.507, 106.714, 1.322, 3.047, 2.71, 3.554, 2.847, 5.479, 4.31, 3.153, 3.957, 4.641, 3.245, 3.0, 1.578, 3.583, 3.155, 3.809, 2.0, 490.27, 23.33, 1244.388, 0.804
4.342, 5.611, 4.322, 3.19, 7.717, 2.99, 2.391, 4.586, 1.485, 90.064, 1.596, 3.606, 2.28, 3.301, 2.965, 5.67, 4.933, 4.919, 1.165, 3.984, 5.508, 3.0, 1.152, 3.632, 2.656, 3.426, 2.0, 816.725, 27.66, 2516.666, 2.145
2.7, 1.129, 3.502, 4.101, 9.624, 3.736, 1.655, 5.299, 3.64, 390.083, 3.318, 3.328, 4.938, 2.534, 2.627, 1.904, 4.763, 4.133, 3.896, 2.967, 3.308, 3.0, 4.423, 3.87, 4.575, 3.108, 2.0, 660.968, 25.414, 2912.697, 0.0
4.366, 3.674, 3.519, 3.382, 8.821, 2.669, 2.451, 5.477, 2.638, 90.436, 3.316, 3.575, 3.031, 1.536, 2.995, 2.216, 4.356, 2.492, 3.312, 1.587, 5.399, 3.0, 3.777, 3.439, 4.534, 3.194, 2.0, 343.288, 21.534, 1474.401, 0.0
2.8, 5.561, 4.315, 2.703, 7.568, 3.916, 4.708, 1.821, 2.941, 386.432, 3.7, 4.466, 2.649, 1.579, 2.335, 3.418, 1.282, 2.002, 2.866, 2.626, 4.93, 3.0, 4.199, 3.453, 2.416, 3.719, 2.0, 1638.68, 36.325, 15527.524, 1.072
4.922, 5.719, 4.577, 4.647, 8.305, 2.662, 1.964, 4.338, 3.433, 178.922, 2.334, 3.647, 3.288, 1.581, 2.121, 5.833, 2.762, 2.341, 1.918, 2.085, 5.748, 3.0, 5.323, 3.132, 1.878, 3.385, 2.0, 488.691, 24.41, 4161.873, 1.609
2.727, 2.168, 3.341, 2.325, 7.995, 1.123, 2.51, 4.558, 4.559, 17.743, 3.966, 3.451, 3.38, 2.788, 2.903, 2.258, 2.053, 2.206, 3.95, 4.891, 5.451, 3.0, 5.21, 3.642, 3.252, 3.595, 2.0, 85.216, 13.869, 218.961, 0.0
3.402, 5.332, 4.035, 3.768, 9.65, 1.39, 2.337, 4.484, 2.05, 74.28, 1.834, 4.439, 2.181, 2.81, 2.095, 4.4, 4.832, 3.42, 2.69, 3.743, 4.116, 3.0, 2.487, 3.449, 2.002, 3.687, 2.0, 349.765, 22.01, 1077.839, 2.145
2.195, 1.722, 3.286, 3.828, 3.852, 2.106, 1.449, 4.742, 2.485, 309.586, 2.541, 4.536, 4.33, 1.07, 2.584, 1.526, 3.016, 3.787, 1.378, 3.333, 3.458, 3.0, 1.815, 3.288, 4.135, 3.415, 2.0, 982.74, 29.685, 9494.291, 1.609
3.779, 2.627, 4.587, 4.145, 5.902, 3.136, 4.765, 1.734, 2.634, 130.989, 2.333, 4.802, 4.454, 3.059, 2.162, 3.207, 4.743, 4.406, 3.468, 4.856, 4.809, 3.0, 2.589, 3.003, 4.326, 3.364, 2.0, 447.026, 22.414, 1045.154, 0.0
4.551, 3.693, 4.584, 3.362, 6.191, 2.683, 1.906, 4.35, 4.947, 345.997, 2.943, 4.88, 3.215, 2.17, 2.808, 3.963, 2.743, 4.401, 3.599, 4.004, 4.272, 3.0, 3.995, 3.693, 2.299, 3.287, 2.0, 1143.637, 30.772, 9521.971, 0.0
3.072, 5.803, 3.884, 4.259, 4.71, 3.556, 4.283, 4.776, 4.186, 212.325, 3.332, 3.435, 1.852, 2.604, 2.325, 2.459, 1.618, 2.62, 3.209, 2.548, 3.733, 3.0, 2.213, 3.755, 4.036, 3.268, 2.0, 806.343, 28.099, 4515.643, 0.0
2.085, 3.557, 3.76, 3.649, 4.275, 1.396, 2.532, 4.445, 2.724, 67.981, 3.377, 4.477, 4.763, 1.346, 2.862, 1.885, 2.909, 4.554, 2.526, 4.414, 4.968, 3.0, 4.865, 3.585, 3.939, 3.293, 2.0, 119.763, 15.51, 690.936, 1.072
4.305, 5.098, 3.758, 4.518, 8.602, 2.705, 3.731, 1.428, 3.291, 107.342, 3.2, 3.125, 4.189, 1.013, 2.784, 3.676, 1.405, 2.802, 2.033, 3.338, 5.381, 3.0, 5.722, 3.284, 3.467, 3.448, 2.0, 299.677, 21.001, 2449.985, 0.0
2.316, 4.109, 3.654, 2.641, 8.84, 1.181, 3.374, 4.164, 2.244, 139.72, 3.776, 4.026, 2.008, 3.829, 2.66, 1.022, 4.449, 4.07, 1.545, 2.573, 4.589, 3.0, 1.329, 3.413, 3.058, 3.354, 2.0, 476.18, 23.903, 3607.298, 2.145
2.595, 1.443, 4.724, 2.667, 6.476, 2.697, 4.912, 4.98, 1.495, 244.644, 2.155, 4.918, 2.957, 1.667, 2.819, 4.23, 3.376, 4.564, 3.287, 3.155, 5.562, 3.0, 1.316, 3.644, 1.573, 3.245, 2.0, 2040.672, 38.722, 11149.951, 1.072
4.793, 4.62, 3.749, 3.054, 8.089, 3.538, 3.725, 5.414, 3.923, 264.587, 1.57, 3.321, 4.148, 1.864, 2.048, 3.424, 4.707, 3.939, 1.915, 4.073, 5.556, 3.0, 1.508, 3.758, 1.383, 3.758, 2.0, 2751.855, 40.734, 9864.091, 1.877
4.743, 3.359, 3.249, 4.025, 4.038, 1.351, 1.797, 2.442, 2.806, 58.577, 1.334, 4.824, 3.188, 2.205, 2.798, 4.441, 3.915, 2.948, 3.774, 1.086, 3.686, 3.0, 1.237, 3.605, 3.521, 3.15, 2.0, 251.569, 19.92, 2795.982, 0.536
3.34, 1.867, 4.0, 3.891, 6.057, 1.091, 1.491, 1.272, 3.477, 380.048, 1.974, 4.387, 4.292, 1.457, 2.637, 5.415, 1.849, 4.506, 1.917, 2.176, 5.385, 3.0, 5.523, 3.952, 1.072, 3.652, 2.0, 1016.062, 32.128, 27123.185, 3.217
2.362, 4.35, 3.894, 4.003, 6.912, 2.763, 2.415, 1.785, 3.008, 26.012, 2.403, 3.094, 4.209, 1.186, 2.473, 3.304, 2.983, 3.671, 2.793, 4.987, 2.455, 3.0, 2.676, 3.631, 2.907, 3.455, 2.0, 115.735, 15.413, 536.222, 0.0
4.793, 5.593, 3.635, 2.026, 3.109, 1.707, 3.66, 5.751, 1.777, 359.376, 1.647, 4.782, 1.912, 2.029, 2.398, 5.116, 1.498, 4.315, 2.373, 4.671, 5.92, 3.0, 4.369, 3.859, 1.294, 3.698, 2.0, 3845.277, 47.55, 14673.086, 1.609
4.662, 4.745, 4.701, 4.112, 6.638, 3.966, 1.031, 3.543, 1.053, 345.658, 2.423, 4.08, 1.483, 1.137, 2.423, 5.106, 1.253, 3.827, 1.738, 3.249, 5.497, 3.0, 4.091, 3.974, 3.877, 3.482, 2.0, 2608.545, 41.862, 29330.757, 2.145
4.175, 5.886, 3.163, 4.648, 7.345, 3.383, 4.093, 2.046, 3.19, 342.743, 1.35, 3.095, 1.759, 1.833, 2.136, 2.723, 3.904, 4.669, 1.414, 4.923, 2.67, 3.0, 5.918, 3.983, 2.393, 3.884, 2.0, 1179.007, 30.914, 6876.259, 1.34
3.318, 3.443, 3.053, 3.22, 9.074, 2.786, 3.906, 1.514, 2.806, 331.827, 2.909, 4.91, 3.12, 1.348, 2.979, 5.673, 4.347, 2.839, 1.634, 2.652, 5.362, 3.0, 3.167, 3.801, 1.257, 3.24, 2.0, 1784.192, 36.927, 16691.485, 1.609
2.932, 4.491, 4.389, 4.551, 6.93, 1.208, 3.426, 5.399, 2.256, 130.884, 1.787, 3.022, 2.916, 1.126, 2.66, 4.609, 3.506, 3.84, 1.836, 2.396, 4.603, 3.0, 4.317, 3.386, 1.229, 3.784, 2.0, 431.089, 24.057, 2700.462, 2.413
2.427, 3.425, 4.536, 4.494, 9.487, 3.174, 1.029, 4.009, 1.503, 199.17, 2.706, 3.015, 1.982, 1.468, 2.916, 1.935, 4.092, 2.369, 3.977, 3.186, 4.353, 3.0, 4.043, 3.06, 1.582, 3.742, 2.0, 648.866, 26.558, 6497.988, 0.0
5.0, 2.998, 4.724, 3.797, 5.471, 2.252, 1.468, 4.975, 4.498, 143.278, 2.536, 3.864, 1.811, 2.693, 2.766, 4.86, 3.127, 2.897, 3.076, 3.209, 5.757, 3.0, 5.767, 3.612, 2.023, 3.13, 2.0, 457.727, 23.693, 3353.817, 0.0
4.543, 3.926, 3.066, 4.568, 4.489, 2.053, 4.672, 5.269, 4.937, 209.513, 1.288, 3.109, 3.378, 3.09, 2.859, 5.036, 4.527, 3.2, 1.353, 4.744, 3.454, 3.0, 1.695, 3.99, 3.635, 3.864, 2.0, 677.117, 24.989, 1450.593, 1.34
2.127, 3.538, 3.312, 3.883, 4.437, 2.336, 2.131, 1.978, 4.572, 353.827, 3.915, 3.923, 2.77, 1.594, 2.46, 1.889, 2.455, 3.091, 1.212, 4.446, 4.545, 3.0, 3.292, 3.507, 3.916, 3.94, 2.0, 891.979, 28.261, 14778.064, 1.072
2.33, 1.093, 3.048, 2.237, 4.88, 2.037, 2.522, 5.413, 1.419, 164.249, 1.759, 3.066, 3.009, 3.86, 2.199, 1.299, 3.37, 2.941, 3.54, 4.505, 2.777, 3.0, 5.544, 3.981, 1.572, 3.435, 2.0, 503.693, 24.826, 2579.113, 0.804
4.554, 2.048, 4.704, 3.046, 4.05, 3.407, 1.132, 2.282, 4.914, 282.236, 2.402, 4.953, 3.957, 1.47, 2.583, 1.198, 2.785, 2.26, 1.474, 3.268, 4.696, 3.0, 3.848, 3.803, 4.409, 3.052, 2.0, 411.819, 22.163, 13073.689, 2.145
2.303, 3.632, 3.402, 2.189, 4.306, 2.628, 1.495, 3.133, 2.884, 296.236, 2.975, 3.929, 3.84, 3.504, 2.67, 4.537, 4.672, 2.635, 3.194, 4.361, 2.16, 3.0, 3.11, 3.107, 1.932, 3.076, 2.0, 658.837, 26.081, 3319.846, 0.536
2.01, 2.122, 3.116, 2.73, 4.623, 1.437, 2.322, 3.82, 4.261, 369.004, 3.968, 4.205, 3.453, 3.953, 2.319, 4.548, 1.926, 2.303, 2.501, 1.372, 4.114, 3.0, 5.574, 3.4, 1.446, 3.325, 2.0, 467.889, 24.458, 9100.92, 1.609
4.566, 5.821, 4.008, 2.395, 8.883, 2.552, 2.057, 5.758, 4.156, 155.44, 1.559, 4.324, 2.575, 1.294, 2.309, 2.433, 1.259, 4.621, 3.487, 3.784, 3.527, 3.0, 1.115, 3.819, 4.977, 3.973, 2.0, 877.758, 28.435, 5480.765, 0.0
3.624, 2.602, 3.482, 2.643, 5.537, 3.113, 4.802, 2.888, 3.86, 190.248, 1.004, 3.765, 2.344, 1.528, 2.909, 1.773, 3.37, 2.809, 3.344, 3.222, 3.093, 3.0, 2.634, 3.048, 1.898, 3.074, 2.0, 1485.735, 34.253, 10357.558, 1.072
2.786, 1.333, 4.683, 3.393, 3.602, 1.881, 2.032, 5.315, 4.873, 138.046, 1.6, 4.701, 4.772, 1.948, 2.673, 4.338, 4.999, 4.872, 1.197, 1.099, 2.565, 3.0, 2.356, 3.145, 4.406, 3.283, 2.0, 224.974, 18.533, 1287.527, 3.217
3.679, 2.167, 3.29, 3.088, 9.517, 2.151, 2.369, 4.087, 3.598, 168.604, 3.726, 4.902, 3.776, 2.747, 2.71, 1.47, 1.336, 2.368, 3.3, 1.083, 2.248, 3.0, 3.551, 3.128, 3.579, 3.612, 2.0, 344.037, 22.254, 5258.046, 0.0
3.629, 5.185, 4.653, 2.972, 4.178, 1.562, 1.584, 3.639, 3.853, 181.943, 3.206, 3.856, 1.231, 2.433, 2.041, 5.331, 1.35, 3.593, 3.505, 4.27, 2.138, 3.0, 4.129, 3.837, 4.554, 3.353, 2.0, 376.37, 21.691, 2406.041, 0.536
2.619, 1.218, 4.856, 2.869, 5.818, 1.783, 3.631, 4.255, 3.963, 354.566, 1.123, 4.224, 4.584, 2.146, 2.807, 1.452, 2.382, 4.856, 2.925, 2.329, 4.607, 3.0, 1.037, 3.281, 4.442, 3.252, 2.0, 1452.209, 33.131, 10803.377, 2.145
2.573, 2.538, 4.757, 3.389, 5.401, 1.705, 3.78, 5.735, 4.63, 329.007, 2.85, 3.734, 2.993, 2.319, 2.145, 1.417, 1.807, 2.633, 2.119, 3.756, 2.144, 3.0, 3.111, 3.714, 3.384, 3.494, 2.0, 705.119, 26.643, 3813.95, 1.072
3.911, 3.004, 4.807, 4.467, 4.789, 2.438, 3.067, 1.157, 3.91, 317.666, 2.045, 3.948, 1.217, 3.892, 2.077, 3.393, 1.687, 2.228, 1.157, 2.255, 3.863, 3.0, 5.024, 3.05, 1.833, 3.156, 2.0, 885.188, 30.099, 16427.65, 1.609
4.433, 5.294, 3.856, 3.482, 6.637, 2.946, 4.769, 5.253, 2.116, 123.633, 3.331, 3.662, 4.238, 1.27, 2.291, 4.153, 3.093, 2.947, 1.578, 1.522, 2.247, 3.0, 4.747, 3.745, 1.601, 3.904, 2.0, 347.709, 22.203, 1695.919, 1.072
2.264, 4.873, 4.196, 4.858, 7.854, 2.129, 1.308, 3.748, 1.987, 105.406, 2.121, 4.319, 2.763, 3.881, 2.258, 4.506, 1.723, 3.295, 1.607, 4.702, 2.304, 3.0, 2.233, 3.078, 4.669, 3.178, 2.0, 202.254, 18.689, 862.36, 2.145
3.947, 4.32, 3.944, 3.03, 8.278, 1.244, 2.422, 4.526, 3.798, 160.135, 2.204, 3.83, 2.244, 3.809, 2.433, 1.262, 4.546, 2.107, 3.236, 2.4, 3.207, 3.0, 3.298, 3.375, 4.743, 3.117, 2.0, 405.299, 22.057, 1327.655, 0.0
4.794, 5.89, 4.975, 2.554, 4.3, 3.667, 2.338, 4.224, 1.748, 96.154, 3.554, 4.674, 4.231, 2.237, 2.899, 4.814, 1.625, 2.917, 2.427, 3.363, 2.894, 3.0, 1.545, 3.169, 1.269, 3.928, 2.0, 274.454, 20.711, 2771.963, 2.145
3.961, 5.653, 3.299, 3.568, 9.236, 3.622, 1.467, 2.615, 1.827, 216.266, 1.045, 4.06, 1.667, 3.361, 2.049, 4.935, 3.847, 4.431, 1.156, 4.76, 3.489, 3.0, 2.909, 3.14, 3.014, 3.651, 2.0, 1040.775, 30.308, 7871.525, 1.609
2.289, 5.656, 3.612, 2.322, 3.047, 3.78, 3.875, 4.635, 3.301, 141.518, 3.733, 3.784, 4.081, 1.375, 2.907, 5.516, 4.492, 4.427, 1.563, 3.313, 3.639, 3.0, 1.217, 3.806, 4.422, 3.948, 2.0, 729.511, 26.4, 1806.321, 1.072
3.282, 3.801, 3.922, 2.741, 4.343, 1.509, 1.335, 5.611, 1.33, 104.518, 1.04, 4.84, 2.486, 3.948, 2.329, 5.272, 1.418, 2.403, 3.763, 3.391, 5.385, 3.0, 2.402, 3.824, 3.591, 3.324, 2.0, 360.985, 22.682, 2482.917, 0.536
4.238, 1.578, 4.892, 4.206, 7.172, 3.905, 3.95, 2.95, 2.464, 197.457, 3.197, 4.172, 3.268, 2.96, 2.173, 5.18, 2.118, 4.448, 3.541, 3.992, 3.666, 3.0, 2.782, 3.067, 3.478, 3.301, 2.0, 682.519, 26.463, 4709.574, 0.0
2.423, 4.463, 3.898, 3.158, 9.785, 3.215, 2.464, 3.566, 1.795, 85.963, 1.605, 3.271, 1.629, 1.836, 2.809, 3.084, 3.713, 2.918, 2.89, 4.805, 2.7, 3.0, 5.334, 3.404, 4.92, 3.08, 2.0, 184.248, 17.461, 681.274, 0.268
3.102, 3.19, 3.027, 4.296, 8.396, 3.196, 1.324, 3.393, 1.849, 211.819, 3.605, 3.97, 4.807, 2.487, 2.924, 3.225, 1.736, 3.068, 3.043, 1.198, 2.652, 3.0, 4.273, 3.901, 4.822, 3.886, 2.0, 390.086, 23.477, 3819.867, 0.0
4.288, 5.231, 3.218, 2.54, 7.291, 3.43, 1.965, 3.666, 4.493, 318.492, 3.527, 3.831, 4.028, 3.45, 2.631, 4.529, 3.998, 2.53, 1.353, 4.43, 3.904, 3.0, 2.825, 3.279, 1.544, 3.896, 2.0, 843.816, 27.768, 7212.75, 1.877
2.114, 5.972, 3.874, 2.081, 6.895, 2.849, 4.416, 5.152, 4.661, 203.676, 3.0, 4.811, 3.97, 3.326, 2.099, 2.446, 3.751, 4.441, 1.847, 2.336, 2.637, 3.0, 4.767, 3.313, 3.076, 3.684, 2.0, 435.23, 23.235, 1628.974, 1.609
2.466, 5.5, 3.577, 3.332, 9.275, 1.024, 2.355, 4.862, 4.617, 281.914, 3.852, 3.198, 4.098, 1.368, 2.32, 4.8, 1.452, 3.837, 1.108, 4.183, 3.933, 3.0, 3.947, 3.936, 1.629, 3.291, 2.0, 387.881, 22.73, 5371.74, 1.072
2.372, 3.488, 3.581, 4.363, 5.565, 2.025, 1.439, 2.38, 1.372, 73.661, 2.309, 4.015, 2.233, 1.499, 2.119, 4.345, 3.423, 2.143, 2.153, 4.468, 4.285, 3.0, 4.79, 3.355, 2.78, 3.124, 2.0, 147.4, 16.936, 1693.468, 0.536
2.282, 5.564, 4.51, 4.892, 4.282, 3.78, 1.141, 4.956, 2.439, 180.497, 2.644, 3.611, 2.41, 2.637, 2.659, 3.405, 1.262, 2.45, 2.049, 4.874, 3.106, 3.0, 2.909, 3.702, 3.96, 3.869, 2.0, 408.184, 22.743, 2395.384, 0.536
2.957, 3.911, 3.454, 4.146, 3.188, 1.694, 4.409, 3.044, 1.628, 310.555, 1.589, 4.009, 3.38, 2.339, 2.692, 3.86, 2.736, 4.463, 3.923, 4.89, 5.416, 3.0, 3.739, 3.673, 1.525, 3.615, 2.0, 1217.8, 32.942, 6912.81, 0.536
2.352, 3.105, 3.507, 4.945, 7.064, 1.851, 4.237, 2.66, 4.746, 267.694, 3.726, 3.695, 2.465, 1.852, 2.055, 1.328, 2.623, 4.124, 1.324, 4.055, 5.419, 3.0, 2.891, 3.62, 1.061, 3.796, 2.0, 1176.156, 32.186, 16439.668, 1.34
2.1, 4.527, 3.465, 2.717, 3.219, 1.83, 3.001, 5.525, 4.463, 52.895, 2.205, 4.831, 3.645, 3.197, 2.479, 1.094, 3.511, 2.455, 1.488, 4.216, 4.284, 3.0, 4.036, 3.428, 1.327, 3.253, 2.0, 113.58, 15.489, 697.443, 2.681
3.45, 4.499, 4.935, 4.938, 6.985, 3.986, 2.403, 3.869, 4.946, 30.547, 3.853, 4.182, 2.775, 1.909, 2.223, 3.552, 1.085, 3.312, 3.974, 2.364, 3.778, 3.0, 5.379, 3.1, 2.72, 3.455, 2.0, 133.912, 16.609, 660.877, 0.0
3.489, 3.515, 3.898, 4.603, 3.668, 2.809, 3.801, 4.575, 4.078, 323.801, 1.192, 3.74, 3.073, 2.568, 2.051, 2.532, 4.711, 3.027, 3.159, 4.962, 4.23, 3.0, 5.337, 3.455, 2.288, 3.917, 2.0, 845.28, 27.585, 2974.963, 0.268
3.066, 5.066, 4.604, 4.942, 6.824, 2.06, 4.334, 2.111, 3.556, 150.192, 2.403, 4.04, 3.98, 2.935, 2.051, 1.454, 1.478, 3.599, 3.336, 3.045, 2.437, 3.0, 4.66, 3.035, 3.518, 3.795, 2.0, 268.997, 20.857, 1424.594, 0.0
4.61, 1.103, 4.146, 4.952, 9.188, 2.744, 4.814, 3.295, 2.584, 391.889, 2.553, 3.973, 2.411, 3.637, 2.327, 1.637, 2.744, 2.498, 1.006, 4.874, 2.826, 3.0, 4.33, 3.383, 1.161, 3.927, 2.0, 592.743, 26.154, 7917.902, 1.609
2.98, 3.166, 4.748, 2.15, 4.148, 3.324, 2.455, 3.299, 3.856, 15.269, 1.931, 4.568, 3.271, 3.705, 2.332, 1.682, 2.375, 4.935, 3.82, 2.79, 2.056, 3.0, 2.862, 3.787, 4.252, 3.326, 2.0, 60.837, 12.696, 388.082, 0.0
2.013, 5.256, 3.268, 3.176, 5.705, 3.613, 1.442, 2.755, 3.828, 341.65, 1.009, 3.071, 1.816, 1.251, 2.139, 1.58, 2.652, 3.92, 3.762, 1.337, 5.32, 3.0, 4.828, 3.632, 3.527, 3.94, 2.0, 3499.856, 46.116, 38206.477, 0.268
4.25, 2.371, 4.266, 3.928, 9.248, 3.018, 4.677, 1.847, 4.091, 79.825, 2.876, 4.791, 3.641, 1.476, 2.915, 4.729, 2.728, 3.033, 1.227, 3.779, 2.697, 3.0, 3.172, 3.255, 1.871, 3.612, 2.0, 242.81, 19.472, 2287.571, 2.145
3.693, 3.672, 4.661, 2.157, 8.973, 2.696, 3.263, 3.472, 1.623, 265.356, 2.965, 3.223, 1.195, 1.438, 2.73, 5.939, 3.683, 3.426, 1.755, 1.869, 4.638, 3.0, 2.423, 3.45, 3.276, 3.097, 2.0, 1290.778, 33.607, 15860.824, 1.609
4.825, 2.794, 3.787, 4.828, 6.386, 2.792, 1.366, 4.338, 3.538, 310.383, 1.004, 4.63, 2.148, 1.255, 2.51, 5.976, 2.249, 3.037, 2.026, 1.975, 4.622, 3.0, 5.408, 3.618, 3.095, 3.264, 2.0, 731.282, 27.813, 13275.163, 0.536
4.462, 2.668, 4.177, 4.107, 9.93, 2.711, 2.321, 3.115, 2.198, 155.445, 3.407, 3.01, 2.509, 1.599, 2.302, 2.185, 4.818, 4.186, 2.159, 1.647, 5.432, 3.0, 4.893, 3.209, 4.444, 3.981, 2.0, 562.122, 24.876, 5417.74, 0.536
2.725, 3.816, 4.392, 4.877, 4.11, 1.444, 2.737, 2.402, 3.297, 246.264, 1.096, 3.044, 1.25, 2.624, 2.688, 2.236, 3.111, 3.695, 1.603, 2.08, 5.374, 3.0, 4.137, 3.879, 2.869, 3.261, 2.0, 1111.432, 31.256, 14497.114, 2.413
2.932, 3.207, 4.75, 4.896, 9.996, 2.341, 4.293, 4.664, 3.894, 387.078, 1.692, 3.632, 3.076, 2.153, 2.723, 1.607, 4.908, 4.133, 3.74, 2.788, 3.514, 3.0, 2.198, 3.473, 4.972, 3.414, 2.0, 1231.215, 30.276, 2384.999, 0.268
3.195, 3.254, 4.379, 2.318, 8.428, 1.765, 2.524, 1.626, 2.355, 247.388, 3.307, 3.947, 1.785, 1.535, 2.724, 4.369, 3.418, 3.349, 2.741, 1.581, 5.133, 3.0, 2.665, 3.348, 3.264, 3.263, 2.0, 1575.718, 34.808, 19588.247, 1.072
2.165, 4.079, 4.916, 4.218, 9.501, 1.2, 4.739, 5.118, 1.774, 42.248, 2.69, 3.156, 2.509, 2.923, 2.05, 5.451, 1.52, 4.946, 2.694, 4.586, 2.868, 3.0, 3.211, 3.885, 4.444, 3.446, 2.0, 155.192, 17.179, 234.926, 1.072
4.26, 5.22, 3.781, 3.498, 3.129, 2.558, 1.064, 2.744, 2.064, 240.041, 1.081, 3.862, 4.461, 2.95, 2.649, 2.789, 1.088, 2.985, 2.202, 3.785, 2.507, 3.0, 2.999, 3.196, 4.417, 3.618, 2.0, 559.415, 25.303, 5554.015, 0.268
